PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
1tfF2,7k/1b4p1/p6p/1pp2BbN/6QP/P1P5/1q4P1/7K b - - 0 31,g5h4 g4g7,678,96,100,1362,endgame mate mateIn1 oneMove,https://lichess.org/Ve1RE5HW/black#62,
CEgg4,7R/8/1pkpp3/6B1/r6P/2P3r1/5K2/8 b - - 3 34,g3c3 h8c8 c6d5 c8c3,679,79,100,1081,advantage endgame master short skewer,https://lichess.org/IaNKlBAo/black#68,
WlXc8,8/6P1/8/8/8/4kp2/1r6/5K2 w - - 0 67,g7g8q b2b1,679,85,100,1248,endgame master mate mateIn1 oneMove queenRookEndgame,https://lichess.org/QGRquvF9#133,
zYrGM,8/p2k2p1/1p2p3/2R1Pn2/4KPP1/P7/P7/8 b - - 0 35,b6c5 g4f5 e6f5 e4f5,681,78,100,1133,crushing endgame master masterVsMaster short,https://lichess.org/eQ1C2AwI/black#70,
Md9P3,8/8/3k4/1KpP4/2P1n1B1/8/8/8 w - - 2 70,g4e2 e4c3 b5a5 c3e2,686,78,100,1241,crushing endgame fork short,https://lichess.org/9svOgLXv#139,
34gd6,r4rk1/pppqb1p1/2bp1n1p/5pN1/3Q3P/1P2P3/PBP1NPP1/2KR3R b - - 0 13,f6g4 d4g7,687,78,100,1324,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/OCREmuLa/black#26,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Modern_Variation
9Mb1m,6k1/pR4p1/5pKp/2r5/5B2/2p4P/6P1/6b1 b - - 5 40,c3c2 b7b8 c5c8 b8c8,687,85,100,1132,endgame mate mateIn2 short,https://lichess.org/LLrTddFi/black#80,
sipi2,r5k1/1pp2pp1/p1np3p/4p3/4P1nq/1PPPB3/1P2R1PP/R3Qr1K w - - 0 21,e1f1 h4h2,692,92,100,1087,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/6daHv7UR#41,
97Q88,7k/pp1n2pb/2pq3B/8/3P3r/5Q2/PPP2PP1/4RRbK w - - 1 25,h1g1 d6h2,696,78,100,1533,mate mateIn1 middlegame oneMove,https://lichess.org/YZGdMXkA#49,
TkQ7P,r1q1r1Qk/ppp1b1pp/3p1n1N/3PR3/8/2N5/PP3PPP/R1B3K1 b - - 6 19,f6g8 h6f7,699,91,100,1217,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/YzWjvbV6/black#38,
NApAX,2r2r1k/p2n1pp1/bpq4p/8/3P2nB/2P1PN2/P1Q2RPP/1BR3K1 b - - 6 21,g4f2 c2h7,701,78,100,1339,mate mateIn1 middlegame oneMove,https://lichess.org/xAjn2GzE/black#42,
oYYKx,2b5/7p/2Pk2p1/3N4/4PKP1/8/8/8 b - - 2 51,d6c6 d5e7 c6d7 e7c8,706,88,100,1333,crushing endgame fork short,https://lichess.org/Y0wwa6Ze/black#102,
9lpqz,2k5/1pp3R1/p5p1/2N3P1/1P3n2/r2p4/5K2/8 b - - 1 36,d3d2 g7g8,709,77,100,1332,endgame master mate mateIn1 oneMove,https://lichess.org/Ye2lZp9U/black#72,
WtKGG,6r1/6pk/R7/4PR2/p4P2/5K1p/4rP2/5b2 b - - 1 37,h3h2 f5h5,711,78,100,1384,endgame mate mateIn1 oneMove,https://lichess.org/3OVe8RJL/black#74,
c9MqU,5k2/p1p5/1b1p1r1P/1P1P4/2P3R1/3B1P2/6P1/7K w - - 1 45,h6h7 f6h6 g4h4 h6h4,713,78,100,1769,endgame mate mateIn2 pillsburysMate short,https://lichess.org/mrYiEHn3#89,
XeHnu,8/5p2/P7/6pk/2qpQ3/6PP/5K2/8 b - - 0 52,c4a2 e4e2 a2e2 f2e2,717,80,100,1673,crushing endgame queenEndgame short,https://lichess.org/sMyQLLIR/black#104,
ASUwe,r5k1/ppp2ppp/8/5q2/6b1/3Br3/PPPN1NQP/2K5 w - - 0 22,d3f5 e3e1 f2d1 e1d1,719,87,100,3099,mate mateIn2 middlegame operaMate queensideAttack short,https://lichess.org/IIY1RgGz#43,
r9FnO,r4rk1/1b3p1B/p1q1p2p/1pn1B3/6Q1/2P1n2N/PP3PPP/3RK2R b K - 2 21,g8h7 g4g7,726,80,100,1308,master mate mateIn1 middlegame oneMove,https://lichess.org/s5vUjXH6/black#42,
alGvC,3rr1k1/p1p1qpp1/3bb2p/2pp4/4n3/2P1PP1P/PPQBN1P1/RB2R1K1 b - - 0 16,e4d2 c2h7 g8f8 h7h8,734,78,100,1981,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/ppmwU8V7/black#32,Zukertort_Opening Zukertort_Opening_Other_variations
XzowY,r3nBk1/1bq1pp1p/p1np2p1/1p5P/4P1P1/P1Q2P2/1PP1B3/R3K2R b KQ - 0 18,g8f8 c3h8,734,80,100,1377,mate mateIn1 middlegame oneMove,https://lichess.org/MYuNEpC1/black#36,Sicilian_Defense Sicilian_Defense_Najdorf_Variation
ICOU9,3rR1k1/pb3ppp/1qpQ1b2/8/3p4/1P6/PB3PPP/4R1K1 b - - 5 25,d8e8 e1e8,735,82,100,1655,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/HLrq30SY/black#50,
WZJvC,1k3r2/pp4p1/3q4/7p/6n1/2P4P/PP2Q1P1/RN5K w - - 4 27,b1d2 d6h2,735,86,100,2655,endgame mate mateIn1 oneMove,https://lichess.org/ecumRG3Y#53,
pOzm0,r2q1kBr/ppp3pp/2np4/b7/3PP3/1Q3b2/P4PPP/RNB2RK1 b - - 0 11,f3g2 b3f7,737,84,100,1375,mate mateIn1 middlegame oneMove,https://lichess.org/k9Ayafra/black#22,Italian_Game Italian_Game_Evans_Gambit
QP6Ei,4n1rk/pp5p/5p1q/3N4/3N2n1/5QP1/PP5P/5R1K w - - 1 33,d5f4 h6h2,743,85,100,1454,mate mateIn1 middlegame oneMove,https://lichess.org/DXcgfIMi#65,
yGv7n,r4rk1/4b1pp/2pqp3/p2n2B1/P2P2n1/1QN4P/1P2NP2/R4RK1 w - - 0 18,g5e7 d6h2,743,82,100,1898,mate mateIn1 middlegame oneMove,https://lichess.org/IjVzJMa1#35,French_Defense French_Defense_Exchange_Variation
U9Wzl,4R2k/2q3p1/3b2np/p4rB1/Pp1P4/1Qp2N1P/5PP1/6K1 b - - 0 31,h8h7 b3g8,746,78,100,1359,mate mateIn1 middlegame oneMove,https://lichess.org/1yBP12dN/black#62,
